Animal,Range,Unique Individuals
Purple Puffin,1,1
Wisteria Wombat,3,4
Pumpkin Pomeranian,1,3
Wisteria Wombat,2,3
Burgundy Bichon Frise,2,1
Purple Puffin,1,4
Wisteria Wombat,2,2
Pumpkin Pomeranian,1,2
Pumpkin Pomeranian,3,1
Burgundy Bichon Frise,2,2
Wisteria Wombat,1,5
Pumpkin Pomeranian,2,1
Pumpkin Pomeranian,1,3
Purple Puffin,1,1
Burgundy Bichon Frise,3,1
Wisteria Wombat,1,3
Purple Puffin,1,5
Purple Puffin,3,1
Pumpkin Pomeranian,2,1
Pumpkin Pomeranian,3,4
Purple Puffin,1,3
Purple Puffin,3,3
Pumpkin Pomeranian,1,2
Burgundy Bichon Frise,1,5
Burgundy Bichon Frise,2,1
Purple Puffin,1,5
Pumpkin Pomeranian,2,2
Pumpkin Pomeranian,2,5
Burgundy Bichon Frise,2,2
Pumpkin Pomeranian,1,4
Purple Puffin,1,3
Purple Puffin,2,3
Purple Puffin,1,4
Burgundy Bichon Frise,2,2
Wisteria Wombat,3,4
Purple Puffin,2,1
Burgundy Bichon Frise,2,1
Purple Puffin,3,5
Purple Puffin,3,2
Purple Puffin,1,3
Pumpkin Pomeranian,3,5
Wisteria Wombat,1,4
Purple Puffin,3,2
Purple Puffin,2,4
Wisteria Wombat,2,4
Wisteria Wombat,3,5
Pumpkin Pomeranian,1,5
Pumpkin Pomeranian,1,4
Purple Puffin,1,4
Purple Puffin,3,2
Burgundy Bichon Frise,2,5
Pumpkin Pomeranian,3,5
Burgundy Bichon Frise,3,1
Burgundy Bichon Frise,3,5
Wisteria Wombat,1,5
Pumpkin Pomeranian,2,1
Wisteria Wombat,2,5
Pumpkin Pomeranian,1,2
Burgundy Bichon Frise,2,4
Pumpkin Pomeranian,3,2
Pumpkin Pomeranian,1,1
Wisteria Wombat,2,3
Purple Puffin,3,3
Wisteria Wombat,1,2
Pumpkin Pomeranian,3,2
Purple Puffin,1,1
Pumpkin Pomeranian,1,1
Wisteria Wombat,3,2
Wisteria Wombat,3,4
Pumpkin Pomeranian,2,2
Purple Puffin,1,2
Purple Puffin,2,2
Purple Puffin,3,1
Purple Puffin,1,2
Pumpkin Pomeranian,1,2
Purple Puffin,3,2
Wisteria Wombat,3,4
Wisteria Wombat,2,5
Pumpkin Pomeranian,1,2
Purple Puffin,1,3
Burgundy Bichon Frise,1,2
Pumpkin Pomeranian,3,1
Wisteria Wombat,3,1
Pumpkin Pomeranian,1,4
Pumpkin Pomeranian,1,3
Wisteria Wombat,2,2
Pumpkin Pomeranian,2,5
Burgundy Bichon Frise,3,5
Burgundy Bichon Frise,2,3
Wisteria Wombat,2,5
Pumpkin Pomeranian,3,3
Purple Puffin,1,5
Burgundy Bichon Frise,2,3
Pumpkin Pomeranian,3,2
Wisteria Wombat,1,5
Purple Puffin,2,3
Pumpkin Pomeranian,3,3
Wisteria Wombat,2,2
Wisteria Wombat,3,1
Wisteria Wombat,1,5
Burgundy Bichon Frise,3,5
Pumpkin Pomeranian,1,1
Wisteria Wombat,2,2
Purple Puffin,3,1
Purple Puffin,3,1
Burgundy Bichon Frise,3,3
Wisteria Wombat,2,3
Burgundy Bichon Frise,2,5
Wisteria Wombat,3,2
Pumpkin Pomeranian,2,3
Pumpkin Pomeranian,3,1
Purple Puffin,2,4
Pumpkin Pomeranian,1,5
Burgundy Bichon Frise,3,4
Burgundy Bichon Frise,2,2
Burgundy Bichon Frise,3,2
Purple Puffin,3,1
Purple Puffin,3,1
Pumpkin Pomeranian,3,3
Pumpkin Pomeranian,3,2
Purple Puffin,3,5
Burgundy Bichon Frise,3,3
Wisteria Wombat,2,1
Pumpkin Pomeranian,1,2
Wisteria Wombat,2,2
Burgundy Bichon Frise,3,2
Purple Puffin,2,2
Wisteria Wombat,3,2
Pumpkin Pomeranian,1,3
Wisteria Wombat,1,5
Pumpkin Pomeranian,1,2
Purple Puffin,1,3
Wisteria Wombat,1,2
Purple Puffin,3,1
Pumpkin Pomeranian,2,5
Pumpkin Pomeranian,1,3
Wisteria Wombat,3,5
Purple Puffin,2,1
Wisteria Wombat,1,5
Pumpkin Pomeranian,1,3
Burgundy Bichon Frise,3,4
Wisteria Wombat,2,1
Purple Puffin,2,1
Wisteria Wombat,2,3
Purple Puffin,1,2
Wisteria Wombat,3,2
Burgundy Bichon Frise,3,1
Burgundy Bichon Frise,3,3
Burgundy Bichon Frise,2,3
Pumpkin Pomeranian,2,1
Purple Puffin,3,5
Pumpkin Pomeranian,1,5
Purple Puffin,2,5
Purple Puffin,1,4
Pumpkin Pomeranian,2,4
Wisteria Wombat,3,3
Wisteria Wombat,1,1
Purple Puffin,2,3
Burgundy Bichon Frise,1,1
Purple Puffin,1,3
Burgundy Bichon Frise,3,2
Purple Puffin,2,4
Wisteria Wombat,3,2
Wisteria Wombat,3,5
Pumpkin Pomeranian,1,4
Burgundy Bichon Frise,3,4
Wisteria Wombat,3,4
Burgundy Bichon Frise,3,1
Burgundy Bichon Frise,2,1
Wisteria Wombat,2,4
Pumpkin Pomeranian,3,4
Purple Puffin,2,3
Purple Puffin,1,3
Wisteria Wombat,1,3
Pumpkin Pomeranian,1,5
Wisteria Wombat,1,4
Burgundy Bichon Frise,3,1
Pumpkin Pomeranian,3,5
Burgundy Bichon Frise,3,1
Pumpkin Pomeranian,3,5
Wisteria Wombat,3,1
Purple Puffin,1,2
Pumpkin Pomeranian,2,2
Purple Puffin,1,1
Wisteria Wombat,3,5
Wisteria Wombat,2,4
Burgundy Bichon Frise,3,4
Wisteria Wombat,2,3
Burgundy Bichon Frise,1,5
Burgundy Bichon Frise,3,4
Pumpkin Pomeranian,1,5
Pumpkin Pomeranian,2,2
Pumpkin Pomeranian,1,2
Pumpkin Pomeranian,3,4
Wisteria Wombat,3,3
Purple Puffin,2,5
Pumpkin Pomeranian,3,3
Purple Puffin,1,4
Wisteria Wombat,3,3
Purple Puffin,3,2
Pumpkin Pomeranian,1,2
Wisteria Wombat,3,3
Pumpkin Pomeranian,2,3
Purple Puffin,1,2
Pumpkin Pomeranian,1,4
Wisteria Wombat,3,4
Wisteria Wombat,3,3
Wisteria Wombat,2,5
Burgundy Bichon Frise,1,3
Burgundy Bichon Frise,1,4
Purple Puffin,1,4
Pumpkin Pomeranian,1,2
Pumpkin Pomeranian,1,5
Pumpkin Pomeranian,1,4
Pumpkin Pomeranian,2,4
Pumpkin Pomeranian,2,2
Burgundy Bichon Frise,2,1
Purple Puffin,2,4
Burgundy Bichon Frise,1,5
Purple Puffin,3,3
Burgundy Bichon Frise,2,2
Burgundy Bichon Frise,1,5
Burgundy Bichon Frise,2,2
Burgundy Bichon Frise,1,5
Pumpkin Pomeranian,3,2
Pumpkin Pomeranian,1,1
Burgundy Bichon Frise,2,4
Pumpkin Pomeranian,1,5
Purple Puffin,3,1
Wisteria Wombat,2,3
Burgundy Bichon Frise,3,5
Burgundy Bichon Frise,1,5
Purple Puffin,2,5
Purple Puffin,3,3
Purple Puffin,1,3
Purple Puffin,3,5
Burgundy Bichon Frise,3,3
Burgundy Bichon Frise,1,1
Burgundy Bichon Frise,1,2
Burgundy Bichon Frise,3,3
Burgundy Bichon Frise,1,1
Pumpkin Pomeranian,2,1
Purple Puffin,3,5
Burgundy Bichon Frise,1,3
Purple Puffin,3,3
Pumpkin Pomeranian,1,3
